chart_id,cancion_id,semana,posicion,streams_semana,semanas_en_chart
1,826,2022-02-19,1,1123859,23
2,610,2022-09-10,7,261448,32
3,410,2022-03-12,2,72988,22
4,778,2022-11-26,36,198180,17
5,1275,2022-10-08,41,352901,14
6,1181,2022-10-08,16,431238,5
7,569,2022-03-19,12,328563,42
8,699,2022-03-05,24,926112,1
9,1607,2022-04-16,5,1283570,15
10,353,2023-09-23,38,383545,40
11,207,2023-07-29,24,89456,13
12,774,2023-07-22,38,323215,24
13,1794,2022-04-23,21,149981,11
14,585,2023-05-20,5,216686,4
15,1367,2023-11-04,48,944579,30
16,1094,2022-12-17,7,433172,48
17,166,2023-06-03,38,931853,3
18,1764,2022-11-05,41,2171179,30
19,108,2022-07-30,9,443980,32
20,1268,2022-08-27,21,1266701,45
21,754,2023-06-24,2,625162,29
22,32,2022-05-28,27,103691,24
23,508,2022-07-23,29,320555,49
24,1183,2023-05-27,34,587848,46
25,1229,2022-11-05,22,660833,48
26,204,2022-01-08,4,1035440,37
27,1340,2022-05-21,40,557077,35
28,561,2023-05-13,42,97206,18
29,778,2022-06-11,21,126833,44
30,1887,2022-07-02,10,248988,21
31,276,2022-06-04,24,224100,38
32,348,2022-02-19,23,175260,33
33,151,2023-09-16,49,530246,2
34,1709,2023-02-18,2,330805,38
35,400,2022-08-13,19,627573,28
36,553,2023-01-14,27,294669,7
37,1327,2023-04-22,45,210159,46
38,1702,2023-11-25,33,449777,31
39,1948,2023-12-16,24,100883,1
40,1832,2023-04-08,1,2289636,45
41,476,2022-05-14,44,583019,20
42,1999,2022-08-20,4,115146,17
43,684,2023-11-11,9,536971,35
44,750,2022-07-30,5,88673,1
45,1649,2022-09-03,35,402838,3
46,1331,2022-02-05,6,221853,39
47,1435,2023-01-28,19,653259,31
48,1668,2023-02-18,43,383809,21
49,933,2023-10-21,50,820597,38
50,1812,2023-08-26,3,180525,15
51,502,2023-02-04,19,583817,1
52,1154,2022-03-12,17,632118,22
53,403,2023-05-13,39,374581,3
54,1760,2023-09-09,38,1027041,7
55,75,2022-02-19,3,129291,19
56,1685,2022-08-27,17,760263,24
57,1549,2022-04-16,3,120774,8
58,885,2022-07-30,27,135337,3
59,577,2022-08-27,47,162502,4
60,1531,2023-04-01,28,590990,33
61,1501,2022-11-12,31,559456,8
62,865,2022-12-24,18,345192,31
63,609,2022-04-30,17,238777,50
64,1229,2022-05-28,12,524370,18
65,1671,2022-09-24,13,127852,20
66,392,2022-07-23,37,545317,41
67,576,2023-09-09,6,56011,19
68,749,2022-03-12,11,128016,18
69,1467,2022-04-30,49,665374,13
