id,playlist_id,cancion_id,posicion,fecha_agregada
1,81,1668,87,2022-03-03
2,217,591,176,2023-11-24
3,78,645,118,2022-07-20
4,473,650,152,2022-02-14
5,342,789,63,2022-01-05
6,263,901,179,2021-10-07
7,25,196,160,2023-01-07
8,24,541,151,2023-05-14
9,401,275,156,2021-05-02
10,251,1762,132,2023-12-21
11,309,1421,99,2022-08-22
12,476,594,86,2022-01-19
13,309,1074,179,2022-04-06
14,168,129,124,2023-03-22
15,321,613,26,2023-07-04
16,11,1431,178,2021-01-29
17,84,1089,55,2021-11-25
18,84,815,160,2021-02-17
19,455,286,73,2023-08-20
20,452,306,43,2023-05-07
21,202,603,79,2023-10-23
22,29,1462,22,2024-04-09
23,87,142,181,2021-12-20
24,74,1791,27,2023-12-05
25,183,191,64,2022-05-03
26,337,180,10,2023-05-23
27,7,156,193,2022-02-04
28,289,1084,78,2022-06-22
29,250,1929,122,2021-10-24
30,240,1299,51,2023-10-14
31,143,1492,152,2022-05-30
32,266,1281,14,2023-05-18
33,343,248,147,2023-07-15
34,233,466,113,2022-01-28
35,90,1045,75,2022-05-13
36,381,1900,9,2023-12-17
37,349,1123,58,2022-06-21
38,309,1585,200,2022-01-28
39,422,1343,41,2023-11-17
40,12,1845,34,2021-07-19
41,217,752,85,2023-10-24
42,293,883,148,2024-02-21
43,196,2,122,2024-04-08
44,356,858,126,2023-09-15
45,427,711,56,2022-10-27
46,252,1715,123,2023-01-01
47,426,585,53,2022-03-08
48,202,492,48,2024-02-09
49,461,1409,68,2024-07-04
50,130,1894,42,2021-03-14
51,300,627,135,2021-09-03
52,80,465,130,2024-01-04
53,206,1215,72,2022-01-24
54,131,194,152,2022-06-16
55,61,1416,70,2022-05-26
56,197,257,111,2023-02-11
57,288,764,113,2023-08-21
58,209,55,196,2022-07-24
59,283,1914,53,2021-12-31
60,221,1953,48,2021-02-21
61,248,1784,193,2023-08-11
62,90,1993,177,2022-02-06
63,432,1459,109,2021-11-23
64,499,1144,47,2024-01-24
65,400,1857,161,2022-07-07
66,338,534,111,2021-04-30
67,267,561,135,2022-05-19
68,220,1770,115,2022-10-14
69,398,90,73,2022-10-16
70,405,1745,121,2024-02-29
71,259,1032,59,2024-05-31
72,178,1080,148,2023-02-22
73,221,1298,174,2021-11-09
74,490,656,143,2024-07-25
75,394,936,196,2022-08-21
76,103,1270,196,2023-04-09
77,116,899,90,2024-02-03
78,92,980,92,2021-08-23
79,394,703,109,2022-11-15
80,142,366,65,2021-11-12
81,388,219,183,2022-05-07
82,302,390,34,2021-06-22
83,149,117,107,2024-03-15
84,495,381,75,2024-10-10
85,478,1571,102,2021-09-29
86,292,1286,80,2023-08-21
87,242,1152,113,2021-10-11
88,178,484,96,2022-11-04
89,475,540,169,2023-12-05
90,343,1135,43,2024-05-25
91,118,1899,165,2022-09-26
92,391,155,1,2023-03-12
93,346,317,81,2022-06-22
94,1,1582,83,2023-05-29
95,338,766,105,2021-12-15
96,39,1117,35,2022-06-02
97,234,1581,118,2022-05-20
98,288,1307,76,2023-10-20
99,259,1736,35,2024-04-25
100,33,632,76,2022-07-19
101,164,1331,41,2021-07-19
102,200,413,168,2021-07-22
