reproduccion_id,usuario_id,cancion_id,fecha,hora,duracion_escucha_seg,completada,modo_reproduccion,dispositivo
1,1048,668,2022-11-24,08:00,175.0,1,busqueda,movil
2,3017,1719,2024-09-09,22:00,242.0,0,album,tablet
3,370,560,2024-09-19,13:00,273.0,1,radio,tablet
4,1515,1268,2023-09-21,09:00,21.0,0,album,tablet
5,4837,1146,2024-09-23,07:00,279.0,1,busqueda,tablet
6,1559,1242,2022-11-01,12:00,245.0,1,busqueda,movil
7,2504,1163,2022-03-09,05:00,228.0,1,busqueda,pc
8,3544,1387,2022-02-22,14:00,163.0,1,busqueda,movil
9,4471,959,2023-02-10,15:00,285.0,1,busqueda,movil
10,197,104,2024-10-18,12:00,234.0,0,busqueda,smart_speaker
11,3213,773,2023-09-14,13:00,206.0,1,album,tablet
12,40,1393,2024-06-02,22:00,89.0,0,radio,tablet
13,2917,1855,2024-11-01,06:00,77.0,0,recomendacion,movil
14,3500,339,2023-01-06,11:00,151.0,1,radio,tablet
15,1199,432,2024-02-18,15:00,83.0,0,album,movil
16,2492,1471,2024-09-26,10:00,115.0,0,recomendacion,pc
17,450,1491,2022-12-06,14:00,333.0,1,album,movil
18,2060,1793,2023-05-09,10:00,120.0,0,playlist,movil
19,2444,1228,2022-04-05,12:00,108.0,0,playlist,tablet
20,3243,346,2024-02-15,21:00,195.0,1,recomendacion,movil
21,1388,557,2024-12-04,23:00,319.0,0,busqueda,movil
22,2951,171,2022-02-08,19:00,245.0,1,busqueda,movil
23,1881,1367,2024-05-04,19:00,153.0,1,recomendacion,movil
24,1928,1780,2023-04-12,17:00,354.0,1,playlist,pc
25,1562,549,2022-09-06,13:00,386.0,1,album,smart_speaker
26,4046,1234,2023-02-21,14:00,41.0,0,recomendacion,movil
27,1293,328,2022-01-05,05:00,17.0,0,album,movil
28,3007,370,2022-07-16,14:00,217.0,1,album,movil
29,1772,150,2022-07-23,11:00,134.0,0,radio,movil
30,2385,1573,2023-03-21,17:00,253.0,1,playlist,movil
31,1504,501,2022-12-10,13:00,265.0,1,radio,pc
32,921,375,2024-09-18,08:00,360.0,1,album,movil
33,3740,996,2022-07-20,17:00,256.0,1,recomendacion,movil
34,47,1414,2022-01-29,00:00,320.0,1,playlist,movil
35,2808,1727,2024-08-06,13:00,118.0,0,album,movil
36,4339,489,2023-08-26,20:00,365.0,1,recomendacion,pc
37,596,641,2024-09-12,06:00,214.0,1,radio,movil
38,480,1839,2022-08-25,06:00,151.0,0,album,pc
39,1527,1856,2024-09-15,06:00,284.0,1,playlist,pc
40,4258,20,2023-05-02,17:00,149.0,0,album,smart_speaker
41,4653,1314,2023-08-03,16:00,307.0,1,album,pc
42,104,52,2022-08-20,12:00,193.0,1,album,movil
43,624,1119,2022-12-31,09:00,236.0,1,busqueda,pc
44,3149,329,2023-01-18,18:00,367.0,1,playlist,movil
45,916,203,2022-12-02,04:00,273.0,1,busqueda,movil
46,1763,343,2022-12-06,15:00,136.0,0,playlist,pc
47,4142,227,2022-06-20,13:00,276.0,1,radio,movil
48,4898,15,2024-04-22,18:00,327.0,1,album,movil
49,2102,1545,2024-11-04,13:00,324.0,1,playlist,tablet
50,4698,613,2022-12-16,07:00,400.0,1,busqueda,movil
51,190,580,2023-03-04,16:00,13.0,0,album,movil
52,2303,1597,2022-06-08,16:00,237.0,1,playlist,movil
53,2620,6,2024-07-05,10:00,163.0,1,album,pc
54,4010,915,2023-08-20,12:00,182.0,1,recomendacion,movil
55,4997,1008,2023-05-29,14:00,385.0,1,album,pc
56,3218,559,2022-02-18,16:00,296.0,1,busqueda,movil
57,2685,1471,2024-11-10,08:00,31.0,0,album,pc
58,4874,907,2024-06-23,07:00,331.0,1,recomendacion,movil
59,966,1735,2023-01-19,15:00,221.0,1,album,movil
60,738,1539,2022-01-23,11:00,374.0,1,busqueda,pc
61,1602,1741,2022-02-26,12:00,372.0,1,recomendacion,tablet
62,1465,621,2022-03-22,12:00,361.0,1,playlist,movil
63,2238,1753,2024-08-18,16:00,215.0,0,playlist,movil
64,3219,557,2024-08-01,02:00,366.0,1,radio,movil
65,4556,831,2024-06-11,22:00,171.0,0,\N,movil
66,3669,1512,2023-06-06,20:00,189.0,1,busqueda,pc
67,4444,1347,2022-06-14,22:00,338.0,1,playlist,tablet
68,2248,1682,2022-07-24,23:00,218.0,0,radio,movil
69,584,1197,2024-08-09,13:00,43.0,0,radio,pc
70,320,1164,2022-03-01,05:00,308.0,1,radio,movil
71,3959,1782,2023-09-20,12:00,20.0,0,album,pc
72,2061,1442,2023-02-26,14:00,255.0,0,radio,movil
73,3608,943,2024-10-30,21:00,309.0,1,album,movil
