"cancion_id";"titulo";"artista_id";"album";"anio_lanzamiento";"duracion_seg";"genero";"subgenero";"energia";"bailabilidad";"valencia";"acusticidad";"instrumentalidad";"tempo";"volumen_db";"explicito";"nombre_artistico";"seguidores";"total_reproducciones";"reproducciones_completadas";"ratio_completadas";"puntuacion_media";"num_valoraciones";"en_chart";"mejor_posicion_chart";"semanas_en_chart";"num_playlists"
1;"Tema 1";72;"Bob Marley - 25 Aniversario";"2021";339;"electronica";"trance";0.86;0.63;0.38;0.13;0.24;66;-29.7;0;"Bob Marley";2272315;35;29.0;0.8286;4.0;6;1;43;1;2
2;"Tema 2";169;"Francisco Stone - Evolución";"2022";134;"latin";"salsa";0.64;0.87;0.6;0.26;0.22;129;-9.2;0;"Francisco Stone";134889;24;18.0;0.75;3.17;6;1;13;4;8
3;"Tema 3";80;"Francisco Stone - Nuevo";"2022";123;"pop";"pop-urbano";0.66;0.58;0.78;0.17;0.13;96;-7.6;0;"Francisco Stone";379450;26;19.0;0.7308;3.4;10;1;4;3;6
4;"Tema 4";103;"Francisco Stone - Segundo Album";"2021";135;"latin";"cumbia";0.83;0.91;0.8;0.43;0.04;195;-19.0;1;"Francisco Stone";1142190;33;22.0;0.6667;4.08;12;1;26;3;7
5;"Tema 5";108;"Gabriel García - Vueltas";"2022";200;"pop";"pop-latino";0.51;0.59;0.89;0.22;0.36;139;-11.1;0;"Gabriel García";4236247;22;20.0;0.9091;2.71;7;1;12;1;4
6;"Tema 6";199;"Ana Ramírez - 25 Aniversario";"2024";163;"flamenco";"flamenco-puro";0.82;0.6;0.63;0.8;0.08;99;-8.3;1;"Ana Ramírez";6553397;20;13.0;0.65;3.67;6;1;11;2;6
7;"Tema 7";159;"Gabriel García - Debut";"2020";259;"flamenco";"rumba";0.61;0.41;0.66;0.67;0.38;168;-1.4;0;"Gabriel García";823999;18;15.0;0.8333;3.44;9;1;22;2;6
8;"Tema 8";114;"Juan Johnson - Reincidencia";"2022";230;"electronica";"trance";0.97;0.73;0.31;0.14;0.17;89;-1.0;0;"Juan Johnson";4962661;28;19.0;0.6786;3.8;15;1;9;1;4
9;"Tema 9";29;"Elefantes - Quinto";"2024";369;"rock";"grunge";0.99;0.56;0.42;0.25;0.34;138;-20.5;1;"Elefantes";4587523;21;15.0;0.7143;2.8;10;1;3;4;5
10;"Tema 10";102;"David Torres - 25 Aniversario";"2020";123;"rock";"rock-alternativo";0.67;0.47;0.67;0.38;0.23;137;-27.1;0;"David Torres";3045188;21;13.0;0.619;4.13;8;0;0;0;5
11;"Tema 11";197;"Emma López - Tercero";"2022";268;"latin";"merengue";0.82;0.95;0.64;0.41;0.35;90;-7.8;1;"Emma López";3893396;21;16.0;0.7619;3.25;4;1;14;3;3
12;"Tema 12";192;"Laura Green - Reincidencia";"2021";186;"flamenco";"rumba";0.78;0.68;0.54;0.72;0.32;196;-5.7;0;"Laura Green";6835369;20;14.0;0.7;4.17;6;0;0;0;2
13;"Tema 13";129;"Ana Sánchez - Cambio de Dirección";"2022";156;"indie";"dream-pop";0.73;0.66;0.56;0.45;0.32;70;-10.5;0;"Ana Sánchez";30929;24;16.0;0.6667;3.33;3;0;0;0;5
14;"Tema 14";118;"Miguel Smith - Segundo Album";"2022";339;"rock";"grunge";0.88;0.54;0.66;0.24;0.15;163;-27.2;0;"Miguel Smith";629486;36;26.0;0.7222;3.5;6;1;4;3;1
15;"Tema 15";107;"Juan Rodríguez - Quinto";"2020";327;"indie";"indie-rock";0.59;0.22;0.53;0.47;0.11;143;-12.3;1;"Juan Rodríguez";1594845;23;15.0;0.6522;3.8;5;1;9;1;2
16;"Tema 16";159;"Gabriel García - Vueltas";"2022";165;"flamenco";"rumba";0.51;0.41;0.73;0.74;0.05;87;-14.3;1;"Gabriel García";823999;29;18.0;0.6207;4.0;9;1;28;1;4
17;"Tema 17";151;"María García - Reincidencia";"2024";160;"latin";"bachata";0.87;0.75;0.79;0.23;0.02;139;-14.1;0;"María García";7176582;24;17.0;0.7083;3.73;11;1;13;1;3
18;"Tema 18";57;"David Bowie - Nuevo";"2021";159;"latin";"regional-mexicano";0.79;0.86;0.82;0.59;0.21;89;-20.3;0;"David Bowie";1241243;24;18.0;0.75;4.33;9;1;34;2;1
19;"Tema 19";50;"Justin Timberlake - Reflexión";"2022";299;"latin";"salsa";0.88;0.77;0.73;0.23;0.01;120;-1.1;1;"Justin Timberlake";2135108;29;20.0;0.6897;3.73;11;1;7;2;5
20;"Tema 20";66;"J. Cole - Cuarto";"2021";198;"r&b";"r&b-soul";0.69;0.71;0.56;0.17;0.06;105;-22.5;0;"J. Cole";6759256;26;21.0;0.8077;4.5;6;1;18;3;5
21;"Tema 21";161;"Diego Sánchez - Vueltas";"2023";349;"reggaeton";"perreo";0.86;0.94;0.66;0.06;0.38;140;-7.9;1;"Diego Sánchez";1385568;18;14.0;0.7778;3.71;7;1;20;1;1
22;"Tema 22";18;"Enrique Iglesias - Vueltas";"2023";275;"electronica";"deep-house";0.82;0.81;0.51;0.04;0.14;74;-7.3;0;"Enrique Iglesias";3819639;25;17.0;0.68;3.91;11;1;41;1;2
23;"Tema 23";19;"Alejandro Sanz - Quinto";"2023";351;"r&b";"r&b-soul";0.41;0.53;0.42;0.12;0.34;74;-8.9;0;"Alejandro Sanz";2927685;25;23.0;0.92;4.0;1;1;7;3;2
24;"Tema 24";74;"Luis Fonsi - Segundo Album";"2020";379;"r&b";"smooth-jazz";0.57;0.53;0.6;0.29;0.07;178;-17.0;0;"Luis Fonsi";14019174;29;23.0;0.7931;4.2;5;1;4;2;3
25;"Tema 25";190;"Sofia Ramírez - Debut";"2023";216;"rock";"rock-progresivo";0.76;0.48;0.55;0.12;0.15;181;-11.2;0;"Sofia Ramírez";840631;16;9.0;0.5625;3.88;8;1;4;3;3
26;"Tema 26";16;"C. Tangana - Vueltas";"2020";295;"rock";"rock-duro";0.8;0.56;0.56;0.17;0.03;189;-10.7;0;"C. Tangana";1113057;34;22.0;0.6471;3.88;8;1;21;1;4
27;"Tema 27";11;"Javier Álvarez - Cuarto";"2023";344;"pop";"synth-pop";0.41;0.71;0.88;0.27;0.16;193;-10.7;0;"Javier Álvarez";203996;31;22.0;0.7097;4.43;7;1;7;4;4
28;"Tema 28";94;"José Rodríguez - Nuevo";"2022";318;"flamenco";"rumba";0.68;0.62;0.78;0.75;0.38;146;-2.8;0;"José Rodríguez";2481662;21;13.0;0.619;4.1;10;1;9;1;2
29;"Tema 29";14;"Bad Bunny - Reflexión";"2022";153;"rock";"rock-progresivo";0.68;0.32;0.34;0.11;0.04;84;-9.5;0;"Bad Bunny";1293438;21;14.0;0.6667;3.89;9;1;29;4;3
30;"Tema 30";99;"Gabriel González - Quinto";"2022";196;"clasica";"opera";0.14;0.1;0.62;0.71;0.33;80;-21.5;0;"Gabriel González";87243;20;15.0;0.75;4.0;10;1;4;5;1
31;"Tema 31";37;"Ed Sheeran - Nuevo";"2022";320;"indie";"indie-pop";0.36;0.55;0.61;0.64;0.29;81;-5.9;0;"Ed Sheeran";3406302;30;21.0;0.7;4.17;6;1;8;3;4
32;"Tema 32";97;"Sofia Smith - Regreso";"2022";185;"reggaeton";"reggaeton-puro";0.78;0.84;0.7;0.16;0.4;168;-17.6;0;"Sofia Smith";2229036;16;11.0;0.6875;3.5;4;1;15;5;6
33;"Tema 33";5;"Duncan Dhu - Nuevo";"2022";212;"clasica";"camara";0.29;0.23;0.37;0.98;0.34;147;-17.1;0;"Duncan Dhu";948124;20;15.0;0.75;3.4;10;1;14;5;7
34;"Tema 34";125;"Ana Green - Cuarto";"2021";190;"indie";"indie-pop";0.68;0.58;0.35;0.65;0.2;79;-5.2;0;"Ana Green";786060;19;13.0;0.6842;4.17;6;1;21;2;4
