"usuario_id";"edad";"sexo";"ciudad";"tipo_suscripcion";"fecha_registro";"dispositivo_principal";"horas_escucha_mensual";"total_reproducciones";"canciones_distintas";"artistas_distintos";"ratio_completadas";"modo_reproduccion_favorito";"reproducciones_fin_semana";"generos_distintos";"genero_favorito";"puntuacion_media_dada"
1;40;"M";"Cádiz";"premium";"2021-06-22";"movil";32;8;8;8;0.875;"recomendacion";25.0;6;"rock";4.67
2;32;"M";"Girona";"premium";"2022-10-07";"movil";34;7;7;7;0.7143;"recomendacion";28.57;6;"reggaeton";3.75
3;30;"M";"Cádiz";"premium";"2019-05-22";"tablet";62;5;5;5;0.6;"album";40.0;4;"clasica";3.5
4;13;"No_especificado";"Vigo";"free";"2019-11-03";"pc";9;10;10;10;0.5;"playlist";30.0;5;"pop";4.67
5;30;"No_especificado";"Granada";"free";"2022-07-22";"tablet";56;10;10;10;0.8;"album";40.0;5;"rap";4.67
6;17;"M";"Castellón";"premium";"2022-05-19";"pc";85;12;12;11;0.6667;"playlist";25.0;4;"r&b";0.0
7;52;"No_especificado";"Getafe";"familiar";"2019-12-13";"movil";57;10;10;10;0.8;"radio";30.0;6;"rap";2.67
8;24;"No_especificado";"Gijón";"premium";"2021-12-01";"movil";31;10;10;10;0.8;"radio";20.0;8;"rap";3.8
9;27;"F";"Palma";"familiar";"2019-04-17";"movil";17;13;13;13;0.5385;"radio";15.38;8;"r&b";3.6
10;27;"F";"Léida";"premium";"2021-06-05";"pc";74;8;8;8;0.75;"radio";12.5;7;"rap";4.5
11;20;"No_especificado";"Jerez";"premium";"2022-09-12";"movil";40;12;12;12;0.9167;"album";16.67;7;"electronica";3.0
12;13;"M";"Madrid";"free";"2023-02-13";"pc";25;10;10;10;0.7;"recomendacion";40.0;5;"indie";4.33
13;31;"M";"Jaén";"premium";"2021-02-17";"movil";46;6;6;6;1.0;"album";16.67;4;"pop";3.5
14;25;"F";"Alcalá de Henares";"premium";"2020-11-18";"pc";39;12;12;12;0.75;"recomendacion";16.67;8;"electronica";4.0
15;34;"F";"Getafe";"premium";"2022-12-19";"movil";44;7;7;7;0.8571;"album";42.86;5;"latin";5.0
16;31;"No_especificado";"Badajoz";"premium";"2022-02-05";"tablet";49;10;10;10;0.6;"busqueda";0.0;5;"electronica";3.67
17;41;"M";"Léida";"free";"2022-10-07";"movil";30;10;10;10;0.8;"radio";50.0;7;"clasica";4.5
18;30;"F";"Lugo";"free";"2019-08-21";"pc";42;10;10;10;0.9;"recomendacion";10.0;5;"clasica";3.0
19;33;"M";"Almería";"free";"2019-06-02";"movil";39;9;9;9;1.0;"radio";22.22;6;"flamenco";4.0
20;35;"No_especificado";"Almería";"premium";"2023-05-15";"movil";8;13;13;13;0.6154;"recomendacion";30.77;9;"indie";3.67
21;43;"No_especificado";"Madrid";"free";"2023-02-17";"movil";22;10;10;9;0.6;"radio";40.0;5;"latin";0.0
22;27;"No_especificado";"Zaragoza";"premium";"2019-11-16";"tablet";50;11;11;11;0.6364;"radio";27.27;6;"electronica";3.0
23;23;"F";"Santander";"premium";"2023-05-29";"smart_speaker";49;13;13;12;0.3846;"radio";7.69;8;"flamenco";0.0
24;20;"M";"Córdoba";"premium";"2020-02-13";"pc";70;12;12;12;0.8333;"busqueda";16.67;8;"flamenco";3.0
25;26;"M";"Málaga";"familiar";"2023-01-10";"tablet";48;8;8;8;0.75;"busqueda";37.5;5;"clasica";4.0
26;16;"No_especificado";"Toledo";"estudiante";"2020-03-06";"movil";56;9;9;9;0.6667;"recomendacion";44.44;5;"rap";5.0
27;30;"F";"Orense";"free";"2020-01-30";"movil";25;13;13;12;0.5385;"radio";23.08;6;"electronica";4.0
28;15;"F";"Murcia";"premium";"2021-08-18";"movil";12;12;12;12;0.8333;"busqueda";41.67;9;"pop";5.0
29;35;"M";"Léida";"premium";"2020-01-14";"pc";74;10;9;9;0.5;"recomendacion";20.0;7;"rock";2.5
30;15;"M";"Badajoz";"premium";"2019-10-22";"movil";76;14;14;13;0.7143;"playlist";28.57;7;"rock";3.0
31;31;"M";"Alicante";"familiar";"2022-12-10";"pc";59;8;8;8;0.625;"album";25.0;7;"indie";3.33
32;23;"F";"Toledo";"premium";"2019-11-29";"movil";17;12;12;11;0.75;"playlist";25.0;8;"latin";3.67
33;39;"F";"Getafe";"premium";"2021-11-03";"tablet";29;9;9;9;0.6667;"busqueda";55.56;4;"rap";3.5
34;18;"F";"Castellón";"premium";"2023-02-15";"movil";64;11;11;11;0.8182;"album";18.18;8;"clasica";3.0
35;13;"No_especificado";"Badajoz";"free";"2020-07-30";"movil";0;10;10;9;0.5;"busqueda";20.0;5;"rap";3.75
36;27;"M";"Girona";"premium";"2020-12-05";"movil";50;13;13;13;0.8462;"recomendacion";7.69;8;"indie";3.33
37;33;"F";"Málaga";"familiar";"2022-10-12";"movil";50;13;13;13;0.7692;"busqueda";30.77;6;"clasica";0.0
38;58;"M";"Málaga";"premium";"2020-10-14";"pc";40;12;12;12;0.8333;"album";50.0;6;"rock";3.67
39;25;"F";"Zaragoza";"premium";"2022-03-11";"tablet";29;7;7;7;0.8571;"recomendacion";14.29;7;"latin";0.0
40;29;"F";"Castellón";"premium";"2023-03-01";"tablet";57;13;13;13;0.4615;"radio";38.46;8;"rap";4.0
41;42;"F";"Girona";"familiar";"2020-10-03";"movil";15;19;19;19;0.6316;"album";10.53;9;"indie";4.67
42;25;"M";"Palma";"premium";"2019-03-29";"pc";53;10;10;9;0.8;"recomendacion";30.0;7;"indie";1.0
43;35;"F";"Burgos";"premium";"2023-06-19";"movil";45;13;13;13;0.5385;"album";61.54;8;"rap";4.67
44;34;"F";"Jerez";"premium";"2021-07-15";"smart_speaker";28;5;5;5;0.8;"album";20.0;4;"reggaeton";3.0
45;46;"F";"Getafe";"free";"2019-02-20";"pc";34;9;9;9;0.5556;"busqueda";22.22;6;"electronica";3.5
46;13;"F";"Valladolid";"estudiante";"2021-03-29";"pc";23;10;10;10;0.5;"radio";40.0;6;"flamenco";4.0
47;15;"No_especificado";"Murcia";"premium";"2019-11-06";"movil";58;15;15;14;0.8;"radio";26.67;9;"indie";4.67
48;13;"M";"Barcelona";"premium";"2021-03-12";"movil";38;16;16;15;0.625;"recomendacion";37.5;8;"indie";4.0
49;33;"M";"Barcelona";"premium";"2021-10-15";"movil";43;8;8;8;0.375;"busqueda";12.5;5;"electronica";3.67
50;31;"No_especificado";"Gijón";"premium";"2020-04-11";"movil";23;12;12;12;0.6667;"busqueda";16.67;6;"rap";4.33
