usuario_id,edad,sexo,ciudad,tipo_suscripcion,fecha_registro,dispositivo_principal,horas_escucha_mensual
1,40,M,Cádiz,premium,2021-06-22,movil,32
2,32,M,Girona,premium,2022-10-07,movil,34
3,30,M,Cádiz,premium,2019-05-22,tablet,62
4,13,No_especificado,Vigo,free,2019-11-03,pc,9
5,30,No_especificado,Granada,free,2022-07-22,tablet,56
6,17,M,Castellón,premium,2022-05-19,pc,85
7,52,No_especificado,Getafe,familiar,2019-12-13,movil,57
8,24,No_especificado,Gijón,premium,2021-12-01,movil,31
9,27,F,Palma,familiar,2019-04-17,movil,17
10,27,F,Léida,premium,2021-06-05,pc,74
11,20,No_especificado,Jerez,premium,2022-09-12,movil,40
12,13,M,Madrid,free,2023-02-13,pc,25
13,31,M,Jaén,premium,2021-02-17,movil,46
14,25,F,Alcalá de Henares,premium,2020-11-18,pc,39
15,34,F,Getafe,premium,2022-12-19,movil,44
16,31,No_especificado,Badajoz,premium,2022-02-05,tablet,49
17,41,M,Léida,free,2022-10-07,movil,30
18,30,F,Lugo,free,2019-08-21,pc,42
19,33,M,Almería,free,2019-06-02,movil,39
20,35,No_especificado,Almería,premium,2023-05-15,movil,8
21,43,No_especificado,Madrid,free,2023-02-17,movil,22
22,27,No_especificado,Zaragoza,premium,2019-11-16,tablet,50
23,23,F,Santander,premium,2023-05-29,smart_speaker,49
24,20,M,Córdoba,premium,2020-02-13,pc,70
25,26,M,Málaga,familiar,2023-01-10,tablet,48
26,16,No_especificado,Toledo,estudiante,2020-03-06,movil,56
27,30,F,Orense,free,2020-01-30,movil,25
28,15,F,Murcia,premium,2021-08-18,movil,12
29,35,M,Léida,premium,2020-01-14,pc,74
30,15,M,Badajoz,premium,2019-10-22,movil,76
31,31,M,Alicante,familiar,2022-12-10,pc,59
32,23,F,Toledo,premium,2019-11-29,movil,17
33,39,F,Getafe,premium,2021-11-03,tablet,29
34,18,F,Castellón,premium,2023-02-15,movil,64
35,13,No_especificado,Badajoz,free,2020-07-30,movil,0
36,27,M,Girona,premium,2020-12-05,movil,50
37,33,F,Málaga,familiar,2022-10-12,movil,50
38,58,M,Málaga,premium,2020-10-14,pc,40
39,25,F,Zaragoza,premium,2022-03-11,tablet,29
40,29,F,Castellón,premium,2023-03-01,tablet,57
41,42,F,Girona,familiar,2020-10-03,movil,15
42,25,M,Palma,premium,2019-03-29,pc,53
43,35,F,Burgos,premium,2023-06-19,movil,45
44,34,F,Jerez,premium,2021-07-15,smart_speaker,28
45,46,F,Getafe,free,2019-02-20,pc,34
46,13,F,Valladolid,estudiante,2021-03-29,pc,23
47,15,No_especificado,Murcia,premium,2019-11-06,movil,58
48,13,M,Barcelona,premium,2021-03-12,movil,38
49,33,M,Barcelona,premium,2021-10-15,movil,43
50,31,No_especificado,Gijón,premium,2020-04-11,movil,23
51,35,F,Huelva,premium,2021-06-10,pc,32
52,24,No_especificado,Sevilla,estudiante,2020-12-24,movil,55
53,29,F,Jaén,familiar,2022-05-29,movil,60
54,18,F,Salamanca,free,2021-05-02,movil,15
55,28,No_especificado,Palma,premium,2020-11-24,smart_speaker,17
56,22,F,Alicante,premium,2022-05-11,pc,52
57,13,No_especificado,Cádiz,free,2023-07-11,movil,37
58,43,No_especificado,Jaén,premium,2019-05-10,movil,20
59,44,M,Salamanca,free,2020-10-30,movil,17
60,33,F,Jaén,premium,2023-05-31,tablet,35
61,39,F,Granada,premium,2019-09-18,movil,53
62,18,No_especificado,Toledo,estudiante,2022-12-21,pc,20
63,13,M,Girona,premium,2022-02-27,movil,48
64,34,No_especificado,Bilbao,premium,2021-02-25,movil,58
65,26,M,Orense,premium,2021-10-02,pc,21
66,19,No_especificado,Gijón,premium,2019-05-18,tablet,68
67,22,F,Valladolid,premium,2021-01-15,pc,47
68,15,M,Toledo,estudiante,2022-07-20,movil,58
69,22,No_especificado,Jaén,free,2022-02-24,movil,35
70,37,F,Girona,free,2020-10-05,movil,12
71,26,No_especificado,Granada,premium,2022-05-08,movil,33
72,13,M,Granada,premium,2021-12-08,movil,27
73,30,F,Huelva,premium,2022-12-05,movil,51
74,29,F,Salamanca,premium,2019-10-23,movil,38
75,39,No_especificado,Getafe,premium,2019-06-11,movil,46
76,36,M,Léida,premium,2022-07-05,pc,9
77,13,F,Burgos,premium,2019-08-09,movil,50
78,13,M,Jerez,estudiante,2020-08-06,movil,44
79,24,M,Alicante,free,2019-04-18,movil,43
80,32,F,Valladolid,familiar,2020-10-07,pc,64
81,38,M,Huelva,premium,2022-08-16,movil,52
82,22,No_especificado,Valencia,premium,2022-08-11,movil,66
83,14,No_especificado,Valencia,free,2023-12-14,pc,24
84,13,No_especificado,Córdoba,premium,2021-10-14,pc,49
85,30,M,Bilbao,free,2021-12-06,movil,45
86,13,M,Cádiz,free,2021-01-01,pc,10
87,37,M,Girona,premium,2021-03-31,movil,51
88,30,No_especificado,Vigo,premium,2022-11-23,movil,25
89,20,M,Léida,free,2019-11-22,tablet,38
90,27,F,Toledo,free,2020-05-05,tablet,25
91,26,M,Sevilla,free,2022-08-09,pc,2
92,39,M,Valencia,premium,2020-03-24,movil,55
93,55,M,Lugo,premium,2020-10-16,tablet,24
94,37,No_especificado,Vigo,premium,2019-02-09,pc,18
95,29,M,Getafe,premium,2022-01-31,movil,64
96,13,M,Salamanca,free,2020-04-15,movil,16
97,21,No_especificado,Málaga,premium,2022-04-06,movil,30
98,32,M,Vigo,familiar,2020-03-11,movil,93
99,26,No_especificado,Oviedo,premium,2020-06-28,movil,49
100,29,M,Granada,premium,2023-03-25,movil,45
101,14,F,Badajoz,premium,2021-03-15,movil,67
102,31,M,Léida,free,2022-05-20,movil,25
103,18,F,Salamanca,estudiante,2020-01-14,pc,38
104,25,M,Salamanca,free,2020-02-14,movil,0
105,13,F,Salamanca,premium,2023-12-21,pc,32
106,34,F,Sevilla,premium,2022-08-19,movil,31
107,15,F,Salamanca,premium,2021-11-12,pc,28
108,22,M,Santander,free,2020-02-27,movil,14
109,53,No_especificado,Burgos,premium,2021-07-26,pc,66
110,40,M,Girona,familiar,2021-09-10,pc,95
