valoracion_id,usuario_id,cancion_id,puntuacion,fecha,comentario_texto
1,794,1903,5,2024-09-30,Perfecto para el gym
2,3426,1961,3,2023-09-16,
3,3688,994,5,2024-09-27,Muy buena melodía
4,2498,1829,4,2023-09-13,
5,2505,1491,5,2023-02-03,Podría mejorar
6,27,1495,4,2022-05-22,Podría mejorar
7,2115,960,4,2023-07-11,Podría mejorar
8,459,1373,5,2022-08-18,Excelente artista
9,4225,1355,2,2024-07-12,
10,1781,997,4,2022-07-09,Obra maestra
11,1883,1435,4,2024-04-11,
12,3057,1815,4,2022-02-01,
13,519,168,4,2022-08-27,
14,1766,1940,4,2022-01-20,
15,2162,1057,4,2024-01-20,Mi favorita del álbum
16,1579,1125,2,2024-10-16,No me gusta
17,342,1021,2,2023-08-14,
18,340,1042,4,2023-05-04,Repetida en la radio
19,1139,1461,4,2024-02-14,
20,2756,1630,5,2022-03-16,
21,2625,626,5,2022-08-31,
22,2012,1869,5,2022-03-11,Me encanta
23,2355,1901,5,2023-12-23,Poco original
24,752,607,5,2023-03-11,
25,1011,1499,4,2024-06-21,Increíble
26,941,349,5,2024-12-28,Bailazo
27,141,1307,3,2022-07-20,Subidón total
28,2782,407,2,2023-05-31,
29,4072,1984,2,2024-12-03,
30,530,1809,5,2022-04-14,
31,713,223,4,2024-07-24,
32,979,1569,3,2023-03-23,Vale la pena escucharla
33,2477,1171,2,2024-12-03,Excelente artista
34,4397,1394,4,2024-11-24,Poco original
35,929,610,5,2024-06-22,Podría mejorar
36,2517,1145,3,2022-01-20,Obra maestra
37,2271,306,5,2022-11-07,
38,2263,438,5,2023-10-03,Me encanta
39,1195,1261,2,2022-06-15,Excelente artista
40,1390,1830,5,2023-02-14,Bailazo
41,38,560,3,2024-11-25,
42,2422,1861,1,2023-03-10,
43,3826,752,3,2024-06-02,
44,3805,1140,3,2022-06-22,Repetida en la radio
45,612,1763,4,2023-04-13,
46,1234,1689,5,2023-06-18,
47,3530,1956,5,2022-07-31,
48,3650,1793,4,2024-12-21,
49,565,1779,1,2023-08-20,Excelente artista
50,2801,1615,5,2022-07-03,Tema del verano
51,2579,636,5,2023-11-14,Gran descubrimiento
52,4472,979,5,2022-07-02,Vale la pena escucharla
53,4364,1392,4,2024-08-16,
54,534,412,4,2023-12-23,Subidón total
55,4529,607,4,2022-01-05,
56,1708,263,5,2022-03-13,Muy buena melodía
57,3737,175,4,2022-09-02,Sensacional
58,2459,25,5,2023-07-09,
59,4339,1261,5,2024-06-14,¡Buena canción!
60,2850,1231,2,2024-07-02,Vale la pena escucharla
61,189,1469,5,2023-05-01,Bailazo
62,3875,981,2,2022-05-17,Tema del verano
63,4239,1024,1,2023-12-19,Bailazo
64,4494,22,4,2022-12-20,
65,4439,1836,4,2022-09-04,
66,3377,1132,5,2022-06-16,
67,1315,887,5,2023-01-27,No me gusta
68,4579,963,4,2023-11-06,No me gusta
69,2597,789,5,2023-05-25,
70,1072,550,4,2022-01-14,Subidón total
71,4661,853,3,2024-08-17,
72,1364,1394,3,2024-06-11,
73,4383,1005,2,2024-05-04,Subidón total
74,1334,1686,3,2022-08-27,Mi favorita del álbum
75,1222,812,1,2022-04-21,
76,2604,1275,5,2023-02-02,Podría mejorar
77,1346,1928,4,2022-09-18,Subidón total
78,1411,1375,1,2023-01-17,Quedaría mejor sin este verso
79,2642,743,4,2022-08-28,
80,3388,209,4,2024-11-08,
81,4665,1025,3,2023-01-02,
82,4541,982,4,2022-10-22,Quedaría mejor sin este verso
83,4944,811,3,2023-02-17,Perfecto para el gym
84,398,1164,3,2023-05-29,Increíble
85,3767,432,5,2022-04-25,
86,2283,1261,1,2022-10-04,Poco original
87,1861,1511,4,2022-07-09,
88,181,1634,4,2023-10-28,
89,1214,1815,5,2024-09-16,
90,1715,1685,5,2022-06-10,
91,471,1011,5,2023-05-30,Bailazo
92,770,173,3,2024-04-21,Quedaría mejor sin este verso
93,4057,1806,4,2023-04-08,
94,3535,90,3,2024-08-26,
95,3163,291,3,2022-01-01,
96,1531,1906,1,2024-07-11,Repetida en la radio
97,2744,749,4,2022-11-03,
98,1519,1345,4,2024-04-27,
99,4435,532,3,2022-03-08,Imprescindible
100,613,626,1,2022-01-23,
101,3394,1856,3,2024-10-12,Sensacional
102,1438,458,5,2023-09-28,
103,568,1958,5,2024-07-17,Podría mejorar
104,94,1761,3,2023-12-23,
105,2138,245,4,2024-04-20,
106,4299,288,4,2022-02-12,
107,1197,968,4,2024-05-03,
108,292,1181,2,2023-12-01,Increíble
109,4327,1612,3,2024-12-01,
110,3636,1939,5,2022-06-04,Bailazo
111,1629,621,5,2022-10-06,
112,3123,1509,4,2022-10-05,Me encanta
113,247,1162,5,2024-08-02,Subidón total
114,2323,747,5,2023-11-06,Sensacional
115,4507,69,3,2022-09-11,Muy buena melodía
116,1121,1529,4,2022-04-13,
117,3138,416,3,2023-10-10,Subidón total
118,4826,1174,3,2023-05-04,
119,2543,1478,4,2022-01-03,Sensacional
120,1878,272,5,2022-02-15,
121,2249,579,5,2023-02-10,
122,2342,742,5,2023-01-14,Me encanta
123,2501,916,2,2024-05-26,Sensacional
124,2888,1487,1,2024-04-17,Subidón total
125,3330,734,2,2023-04-09,Podría mejorar
126,767,1661,1,2023-10-26,Quedaría mejor sin este verso
127,2489,113,1,2022-03-21,Podría mejorar
128,4931,881,5,2022-04-08,
129,3402,799,5,2024-07-19,Quedaría mejor sin este verso
130,3170,1927,2,2024-01-04,
131,1654,888,4,2022-05-22,
132,970,197,2,2022-08-03,Imprescindible
133,1787,1798,5,2022-12-08,
134,3750,521,2,2022-04-28,¡Buena canción!
135,3042,1482,4,2023-08-06,
136,3752,1376,4,2024-02-15,
137,2464,1224,3,2023-06-24,Mi favorita del álbum
138,412,423,5,2023-06-14,
139,2332,1878,3,2023-08-29,
140,315,293,4,2023-06-18,
141,3046,507,3,2022-07-28,Bailazo
142,4073,858,2,2023-11-10,Me encanta
143,1241,241,5,2024-02-15,Increíble
144,3311,857,4,2022-11-29,Excelente artista
145,4400,246,3,2022-06-16,
146,1833,1191,4,2022-11-03,Mi favorita del álbum
147,3939,158,1,2023-12-29,Me encanta
148,3123,1049,4,2023-02-09,Muy buena melodía
149,1205,1063,5,2022-08-22,
150,4909,1720,3,2023-08-17,
151,906,981,3,2023-10-28,
152,4753,507,2,2024-01-12,Vale la pena escucharla
153,800,1925,3,2023-03-07,No me gusta
154,1746,1398,3,2023-02-23,
155,3832,475,2,2024-06-28,
156,1647,1307,4,2023-11-12,Vale la pena escucharla
157,4700,1026,5,2024-06-10,Imprescindible
158,721,7,5,2022-06-11,Repetida en la radio
159,3260,448,5,2023-07-06,Mi favorita del álbum
160,286,540,5,2023-06-06,No me gusta
161,3924,876,2,2022-05-09,Bailazo
162,2948,1889,5,2023-03-23,Bailazo
163,3097,795,5,2023-02-07,
164,2254,6,5,2023-03-23,Subidón total
165,1279,1056,5,2023-07-26,
166,1814,26,5,2023-06-04,
167,357,1326,5,2023-12-25,
168,1177,329,3,2023-06-26,Me encanta
169,4906,1023,5,2023-01-01,
170,3474,1140,4,2023-07-30,
171,3221,738,4,2022-04-08,Vale la pena escucharla
172,1658,533,1,2023-10-12,Perfecto para el gym
173,4768,1448,4,2024-08-24,Me encanta
174,2830,1832,1,2023-12-05,Bailazo
175,3869,1712,5,2023-10-23,
176,3318,1249,3,2023-09-07,
177,4767,124,5,2022-10-24,Bailazo
178,3104,1027,3,2022-10-18,Perfecto para el gym
179,476,375,1,2024-05-23,
180,549,613,5,2024-10-09,
181,868,1863,2,2022-06-05,Me encanta
182,3831,1367,4,2022-11-21,Bailazo
183,3675,1338,2,2023-10-04,Sensacional
184,3273,1543,5,2022-08-28,
185,3004,1024,5,2024-11-04,
186,1444,1895,3,2024-09-23,Sensacional
187,3027,1130,2,2024-10-26,Perfecto para el gym
188,4825,135,4,2022-04-04,¡Buena canción!
189,1214,1545,4,2023-07-30,
190,935,159,3,2023-05-06,
191,3041,1717,2,2024-09-17,
192,2978,247,5,2022-08-12,Tema del verano
193,4061,514,2,2023-04-30,Imprescindible
194,2180,1928,1,2022-09-12,Bailazo
195,4268,1783,4,2022-04-06,
196,4826,1759,5,2022-10-16,Repetida en la radio
197,561,1310,5,2024-12-30,Perfecto para el gym
198,852,224,4,2022-05-28,Poco original
199,5,1782,5,2022-02-27,
200,3628,1815,3,2024-10-16,Podría mejorar
201,1144,715,4,2024-02-15,Mi favorita del álbum
202,2897,555,3,2022-11-15,
203,3036,1382,5,2022-12-13,
204,3323,1076,5,2024-08-19,Bailazo
205,430,99,4,2024-07-06,Poco original
206,4293,1383,5,2022-11-10,
207,3589,1784,5,2024-02-11,Muy buena melodía
208,1143,1084,2,2024-09-20,
209,4103,1920,5,2022-10-08,Tema del verano
210,3253,911,4,2023-08-02,Obra maestra
211,2231,1723,3,2024-12-22,Gran descubrimiento
212,1502,717,3,2023-08-30,Vale la pena escucharla
213,846,1271,4,2024-10-19,
214,4308,1741,5,2022-05-03,
215,4052,231,5,2023-04-04,
216,2744,484,4,2022-05-09,
217,101,1883,5,2022-10-15,Bailazo
218,1580,1517,5,2023-05-29,Perfecto para el gym
219,200,967,2,2022-02-17,
220,3980,1125,5,2022-02-24,Perfecto para el gym
221,4135,1060,5,2022-09-01,Vale la pena escucharla
222,3233,1974,4,2024-01-26,
223,204,1345,5,2024-04-30,Me encanta
224,4926,363,4,2024-06-23,Increíble
